image,condition,repeat,semantic_shift
Kalabari_ceremonial_attire.jpg,Nigeria,1,0.3111259937286377
Kalabari_ceremonial_attire.jpg,Nigeria,2,0.19011425971984863
Kalabari_ceremonial_attire.jpg,Nigeria,3,0.2713402509689331
Kalabari_ceremonial_attire.jpg,India,1,0.18368476629257202
Kalabari_ceremonial_attire.jpg,India,2,0.11495399475097656
Kalabari_ceremonial_attire.jpg,India,3,0.08854782581329346
Kalabari_ceremonial_attire.jpg,Saudi Arabia,1,0.25058817863464355
Kalabari_ceremonial_attire.jpg,Saudi Arabia,2,0.17781740427017212
Kalabari_ceremonial_attire.jpg,Saudi Arabia,3,0.13843274116516113
Kalabari_ceremonial_attire.jpg,United Kingdom,1,0.19133031368255615
Kalabari_ceremonial_attire.jpg,United Kingdom,2,0.14251697063446045
Kalabari_ceremonial_attire.jpg,United Kingdom,3,0.15439271926879883
"500px-Maasai_woman,_Tanzania.jpg",Nigeria,1,0.1150810718536377
"500px-Maasai_woman,_Tanzania.jpg",Nigeria,2,0.16164278984069824
"500px-Maasai_woman,_Tanzania.jpg",Nigeria,3,0.24562281370162964
"500px-Maasai_woman,_Tanzania.jpg",India,1,0.06972014904022217
"500px-Maasai_woman,_Tanzania.jpg",India,2,0.1260814070701599
"500px-Maasai_woman,_Tanzania.jpg",India,3,0.21423661708831787
"500px-Maasai_woman,_Tanzania.jpg",Saudi Arabia,1,0.08716827630996704
"500px-Maasai_woman,_Tanzania.jpg",Saudi Arabia,2,0.15169161558151245
"500px-Maasai_woman,_Tanzania.jpg",Saudi Arabia,3,0.1942845582962036
"500px-Maasai_woman,_Tanzania.jpg",United Kingdom,1,0.04780787229537964
"500px-Maasai_woman,_Tanzania.jpg",United Kingdom,2,0.07122981548309326
"500px-Maasai_woman,_Tanzania.jpg",United Kingdom,3,0.1981116533279419
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",Nigeria,1,0.17179298400878906
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",Nigeria,2,0.05262857675552368
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",Nigeria,3,0.04783165454864502
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",India,1,0.21350693702697754
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",India,2,0.12655258178710938
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",India,3,0.12617897987365723
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",Saudi Arabia,1,0.1435757875442505
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",Saudi Arabia,2,0.0831148624420166
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",Saudi Arabia,3,0.2524118423461914
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",United Kingdom,1,0.11347907781600952
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",United Kingdom,2,0.14678895473480225
"500px-Turkana_Woman,_Uganda_(in_explore)_-_Flickr_-_Rod_Waddington_(1).jpg",United Kingdom,3,0.2685341238975525
"500px-Sikh_man,_Agra_10.jpg",Nigeria,1,0.12977182865142822
"500px-Sikh_man,_Agra_10.jpg",Nigeria,2,0.16473770141601562
"500px-Sikh_man,_Agra_10.jpg",Nigeria,3,0.12406045198440552
"500px-Sikh_man,_Agra_10.jpg",India,1,0.13752609491348267
"500px-Sikh_man,_Agra_10.jpg",India,2,0.12876272201538086
"500px-Sikh_man,_Agra_10.jpg",India,3,0.15468519926071167
"500px-Sikh_man,_Agra_10.jpg",Saudi Arabia,1,0.08522647619247437
"500px-Sikh_man,_Agra_10.jpg",Saudi Arabia,2,0.0447615385055542
"500px-Sikh_man,_Agra_10.jpg",Saudi Arabia,3,0.23160141706466675
"500px-Sikh_man,_Agra_10.jpg",United Kingdom,1,0.04365807771682739
"500px-Sikh_man,_Agra_10.jpg",United Kingdom,2,0.08956152200698853
"500px-Sikh_man,_Agra_10.jpg",United Kingdom,3,0.09072047472000122
500px-Jyothika_Sahoo.png,Nigeria,1,0.12003719806671143
500px-Jyothika_Sahoo.png,Nigeria,2,0.09482753276824951
500px-Jyothika_Sahoo.png,Nigeria,3,0.15897244215011597
500px-Jyothika_Sahoo.png,India,1,0.23598384857177734
500px-Jyothika_Sahoo.png,India,2,0.27729499340057373
500px-Jyothika_Sahoo.png,India,3,0.26342105865478516
500px-Jyothika_Sahoo.png,Saudi Arabia,1,0.25668853521347046
500px-Jyothika_Sahoo.png,Saudi Arabia,2,0.10451042652130127
500px-Jyothika_Sahoo.png,Saudi Arabia,3,0.09753036499023438
500px-Jyothika_Sahoo.png,United Kingdom,1,0.12308007478713989
500px-Jyothika_Sahoo.png,United Kingdom,2,0.12492597103118896
500px-Jyothika_Sahoo.png,United Kingdom,3,0.25066566467285156
500px-Kuwaiti_man.jpg,Nigeria,1,0.30208855867385864
500px-Kuwaiti_man.jpg,Nigeria,2,0.09752500057220459
500px-Kuwaiti_man.jpg,Nigeria,3,0.13830482959747314
500px-Kuwaiti_man.jpg,India,1,0.2486058473587036
500px-Kuwaiti_man.jpg,India,2,0.11059343814849854
500px-Kuwaiti_man.jpg,India,3,0.1387718915939331
500px-Kuwaiti_man.jpg,Saudi Arabia,1,0.10398054122924805
