condition,adjective,frequency
Nigeria,dark,51
Nigeria,young,39
Nigeria,white,23
Nigeria,black,17
Nigeria,dark-haired,13
Nigeria,serious,13
Nigeria,long,12
Nigeria,light,12
Nigeria,brown,11
Nigeria,blue,10
Nigeria,short,9
Nigeria,neutral,8
Nigeria,elegant,8
Nigeria,stylish,7
Nigeria,casual,7
Nigeria,straight,6
Nigeria,green,6
Nigeria,wavy,6
Nigeria,bearded,6
Nigeria,dark-skinned,6
Nigeria,fair-skinned,6
Nigeria,composed,5
Nigeria,youthful,5
Nigeria,warm,5
Nigeria,soft,4
Nigeria,solid,4
Nigeria,athletic,4
Nigeria,trimmed,4
Nigeria,grey,4
Nigeria,denim,4
Nigeria,blurred,4
Nigeria,neat,4
Nigeria,well-groomed,4
Nigeria,right,4
Nigeria,long-haired,4
Nigeria,calm,4
Nigeria,freckled,4
Nigeria,blonde,3
Nigeria,straight-haired,3
Nigeria,muscular,3
Nigeria,brown-eyed,3
Nigeria,wavy-haired,3
Nigeria,smiling,3
Nigeria,visible,3
Nigeria,beaded,3
Nigeria,slender,3
Nigeria,textured,3
Nigeria,half,3
Nigeria,horizontal,3
Nigeria,reddish,3
Nigeria,faux,3
Nigeria,short-haired,3
Nigeria,fair,3
Nigeria,wooden,3
Nigeria,serene,3
Nigeria,grainy,2
Nigeria,small,2
Nigeria,contemplative,2
Nigeria,dramatic,2
Nigeria,golden,2
Nigeria,red,2
Nigeria,sunlit,2
Nigeria,gentle,2
Nigeria,outdoor,2
Nigeria,concrete,2
Nigeria,styled,2
Nigeria,facial,2
Nigeria,bare,2
Nigeria,radiant,2
Nigeria,striking,2
Nigeria,poised,2
Nigeria,left,2
Nigeria,plain,2
Nigeria,structured,1
Nigeria,distinctive,1
Nigeria,pale,1
Nigeria,dark-eyed,1
Nigeria,v,1
Nigeria,fashionable,1
Nigeria,other,1
Nigeria,direct,1
Nigeria,deep,1
Nigeria,colored,1
Nigeria,curly,1
Nigeria,relaxed,1
Nigeria,metallic,1
Nigeria,orange,1
Nigeria,prominent,1
Nigeria,simple,1
Nigeria,purple,1
Nigeria,sporty,1
Nigeria,lighter,1
Nigeria,rough,1
Nigeria,zippered,1
Nigeria,inner,1
Nigeria,steady,1
Nigeria,faint,1
Nigeria,moody,1
Nigeria,middle,1
Nigeria,lower,1
Nigeria,cropped,1
Nigeria,thick,1
Nigeria,fluffy,1
Nigeria,plush,1
Nigeria,natural-haired,1
Nigeria,dewy-skinned,1
Nigeria,high,1
Nigeria,graceful,1
Nigeria,traditional,1
